titulo,preco,loja,vendedor,qtd_vendida,link
"Smart Tv Samsung LS32BETBLGGXZD 32"" HD Led",931.28,,EasyTech,MercadoLíder |+50mil vendas,https://www.mercadolivre.com.br/smart-tv-samsung-ls32betblggxzd-32-hd-led/p/MLB30999973#polycard_client=search-nordic&search_layout=grid&position=1&type=product&tracking_id=21b29965-2f2a-4007-b937-e06335ab11be&wid=MLB5390018050&sid=search
Smart Tv U8600f Crystal Uhd 4k 50 2025 Preto Samsung,2098.8,,Vikings,+750mil vendas,https://www.mercadolivre.com.br/smart-tv-u8600f-crystal-uhd-4k-50-2025-preto-samsung/p/MLB50114846#polycard_client=search-nordic&search_layout=grid&position=2&type=product&tracking_id=21b29965-2f2a-4007-b937-e06335ab11be&wid=MLB5646313956&sid=search
Smart Tv Samsung 32'' Polegadas Led Hd Wi-fi 2 Hdmi 1 Usb,964.75,,Eshop,+250mil vendas,https://www.mercadolivre.com.br/smart-tv-samsung-32-polegadas-led-hd-wi-fi-2-hdmi-1-usb/p/MLB15828219#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=21b29965-2f2a-4007-b937-e06335ab11be&wid=MLB3986424971&sid=search
Smart Tv Full Hd Led 43 Samsung Lh43betmlggxzd Wifi Tizen,1509.2,,Não informado,Não informado,https://www.mercadolivre.com.br/smart-tv-full-hd-led-43-samsung-lh43betmlggxzd-wifi-tizen/p/MLB15911487#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=21b29965-2f2a-4007-b937-e06335ab11be&wid=MLB4022418351&sid=search
Smart Tv Qef1 Vision Ai Tv 50 Qled 4k Cinza Samsung Bivolt,2321.84,,Não informado,+1 M vendas,https://www.mercadolivre.com.br/smart-tv-qef1-vision-ai-tv-50-qled-4k-cinza-samsung-bivolt/p/MLB48957044#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=21b29965-2f2a-4007-b937-e06335ab11be&wid=MLB5442402596&sid=search
