titulo,preco,loja,vendedor,qtd_vendida,link
Smart Tv 32  Hd Led Lg 32lr600bpsa  Webos 23 Com Ai Thinq,1399,,Não informado,Não informado,https://www.mercadolivre.com.br/smart-tv-32--hd-led-lg-32lr600bpsa--webos-23-com-ai-thinq/up/MLBU3493973295#polycard_client=search-nordic&search_layout=grid&position=11&type=product&tracking_id=fbeaf4e3-2214-4ca1-bc05-2e186058a725&wid=MLB4258159231&sid=search
Smart Tv 32'' Lg Led 32lr600bpsa Hdmi/usb Preto,1072.03,,Não informado,Não informado,https://www.mercadolivre.com.br/smart-tv-32-lg-led-32lr600bpsa-hdmiusb-preto/up/MLBU3098963051#polycard_client=search-nordic&search_layout=grid&position=12&type=product&tracking_id=fbeaf4e3-2214-4ca1-bc05-2e186058a725&wid=MLB5337755918&sid=search
Smart Tv 32'' Lg Hd 32lr600bpsa Processador 5 Ger6 Alexa,1039,Webfones,Não informado,Não informado,https://www.mercadolivre.com.br/smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa/up/MLBU3407771310#polycard_client=search-nordic&search_layout=grid&position=13&type=product&tracking_id=fbeaf4e3-2214-4ca1-bc05-2e186058a725&wid=MLB5669951912&sid=search
Smart Tv 32'' Lg Hd 32lr600b 60hz Lcd - Preto,1035,Rep Store,Não informado,Não informado,https://www.mercadolivre.com.br/smart-tv-32-lg-hd-32lr600b-60hz-lcd--preto/up/MLBU3189331478#polycard_client=search-nordic&search_layout=grid&position=14&type=product&tracking_id=fbeaf4e3-2214-4ca1-bc05-2e186058a725&wid=MLB4068766939&sid=search
Smart Tv Lg 32 Hd Alexa  Webos 23 Wi-fi Hdmi  P. A5-32lr600b,1099.9,,Não informado,Não informado,https://www.mercadolivre.com.br/smart-tv-lg-32-hd-alexa--webos-23-wifi-hdmi--p-a532lr600b/up/MLBU3366268929#polycard_client=search-nordic&search_layout=grid&position=15&type=product&tracking_id=fbeaf4e3-2214-4ca1-bc05-2e186058a725&wid=MLB5598880230&sid=search
Smart TV TCL 55 Polegadas QLED 4K P8K WiFi Bluetooth Google TV 144Hz HDR10+ Dolby Atmos Vision 55P8K,2799,Mercado Livre,Não informado,Não informado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=WF2TwlxCQsdf9uHgCMRwiD0DyauOL%2FAivqyC9ZB4MoMV1G3EeQlcthV0sYke7BPJhbJ9yYQ0e82bkCpLMO5lpnHIweGk4dTdTXZUn%2FUjg6pDUfefh13N0bBqH%2BmZdZm3NmmmT5inN%2BSbHC4U9Mf4rBbh4r2yrZg3s44UIyZwwCkVISPfUiqL59pbckFCwCM9JAYND%2F4dY7Oc1OjVDOIYh%2BLdQ6OcpMu4dkymQPtOzt69XuVeyfl5lohFiCVyXOSgxPlQlnw84ZMYJgimDXiED0Fps%2BQW7RoDOxc1ZxoP02GUjTdK0ZFfhHLqqJKQ4SycwjA4I9Yed91dyb0rflJp%2BTRyx2oyUilvyPz2qfnoBqu6YR0nC5PENGw7ZSvc6tPpOfzTm%2Fkjssdz%2Fam%2BFOm9EHrYwz2HVnj2qmLzrq%2B0pH0DAS79cDa%2Bz0x5WSWFrUMIQkJRDxVU5FJ7Y7PQ3B%2BMV9tQ1kTCZCLZ6ofHH3REsrMEUtt1i%2Bjseq8mqJADxAp%2FE16y2JuATwhssSj57NfEqvIqcJev3pC8Vq6KGxCklb7Rh%2FMveamVYj6SG94x2DC%2FHxQZ4HgxHhMmpfqB%2FBxmLBZDxNq6GH25Pd2kGIDqYYGEsvdez6kZJnvUq8LoVaWjSw4kxfdeC7QVPOTrG4CLehUMtNXkuvGTSzw0vwEiw%2FM3JNeffJm75hXw54WufpyP1qgy%2ByDLj0jbgRo0gF%2BAomIrRxN686oUFjRzL%2FZ16TnJ5Sm%2BU7l%2BZyicDLHkCPTjDvSo8EzPPF2G3WGBzUK9WEfgYBNbTQYr7xi0pyJpZz2Hok06TbwKIaHe6wKU2YrIE5g1A9fJRmYZKWPgJcZlsewEMmcviF4KXq6oNwJrr5kDt7xe%2BWDyAv5W5Gj5YFWb4q2kkpXMcVGkpEfIDHKbLIMhabvovEbh9GyqBfIn6A6m4xX18%2FevsD5WnI%2BxrDFpKWPBz%2FEjseLU10Vlcx0kWeo98sPFyB8dD6%2FNP5f4eMAlLEY76FNsVvlMO03WZ4dod6Zsw%2FyEoN3T%2FswwmaTNiOov4pSa93Hwq%2Fp2#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB48946085&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=16&type=pad&tracking_id=fbeaf4e3-2214-4ca1-bc05-2e186058a725&wid=MLB5765031656&sid=search
Smart TV TCL 50 Polegadas QLED Mini LED 4K C6KS WiFi Bluetooth Google TV HDR10+ Dolby Atmos 50C6KS,4701.55,TCL,Não informado,Não informado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=6gIAIcJGbBgTi5hBSME72yBRiaY%2FUFYodSjEcedzThjP0kiEKtZ66ZSAW7OUyVSEiBLbR1OsTX74E%2BTzj0iCUOh42J7q8Y%2FMHdRyQJdwmLBiSgMDcnkEm8A0znOVmQQsaIjRKfmqA8v9wiQr1G0q2GaJg65%2B8l%2Byt6x9SoNa2X91v2Yyh%2ByBRvJlA%2BCcN1IkvUjaBseBP99XiVq09A15gCHhwcR%2B2N6EVtWhTi4fXmpRwWGNN33zDQDigYTj3TMYYgom7ngSqP7GMae%2B2vYT97Y6cf33S7CFcurc9UaOjqKZq0nLbWnHp0c8qYO%2BKk7mmuxOYHOeFbrDxiBop02NGnH3XlyQvjb2mVt8eMojoVtJmxqb10K%2BplHLYPQZz0jdJwbyqYhgOPp%2BxKyB1o7gqs7GAWAiBpF9qVAXGcfb6j3LSHKdIcxVXMlcJUH6a2mQH1%2FLgzb0FqipR1Y7BX7cG8y3L2l7IWpt9s42mEJSfrB%2B2QSqhWg0vjaucKuJT8xNz1%2FUHBW%2BVdQyV5Lj%2Fsad56FB8Lp%2FwnKFmhP9JLWzYtWNfKrNYexpFamK8ocpNB6qlQDisQ1wqBD2HBBjsC2q0lJ4EgWdvs8pFZeG2XgmD1elTlVyBlFuYZMOxluY43fHSQyWLZk2XT%2BaazYh0GoFzIcqNGSLiRBeVPkcMPuDd%2F6h%2FGO9iHx0UBaneOp1U5%2BjhDjjimv20jvi%2FUtuL%2BjB3rd6LD%2BhYwG%2FE3QXYoYbnZMAA3L48xFhy1gdN0QpfA8yLEFzNKKKbEgkskhC%2FaWDaKX74L3jxntI7Z0YjwbsrjJTWrYxnCX9AB6QzWv2Wss1i6TIIJvegnj89DhJGfxu%2FTm8SJM0wcXfwlq%2BNhRrhuUtPftdTWcG8bM2HmtTOIk07fuCclF9AasALMboCJfkYMwOkKGcOkLJLeTl0niP%2BOAksJa90xP0a1O5gjSgxvyc6bT2hs197QR7WEjGVJ2%2B2JaK5p%2FUw%2FFNgL4ripJsA3gN32P8pJOgQJKrM7K9TqfbpVr34GsbEFlDFfSvu2%2FtCOSCQkE64Ovu#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB53860595&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=17&type=pad&tracking_id=fbeaf4e3-2214-4ca1-bc05-2e186058a725&wid=MLB5626639878&sid=search
Smart Tv Full Hd Led 43 Samsung Lh43betmlggxzd Wifi Tizen,1641.9,,Não informado,Não informado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=OjXltKBxXMrbaYFH3sKYDygVxA097%2FD%2BLPB7DCbAzA%2F6Lv28z0ZCO8RQF%2FqPqKJbSxCbarm1eW4f%2FJgWifKIFAx%2BHrdeMLDtiYGUHVToM3vpP4popirISzPH19gcUemWQthAbatTnAOYYYSaugu3zZqP%2FL1Lo2EEpY1pnwPvC2O9tOz12uzgwuQg3yKMBAY6AuS4X%2FA5Miy1DGfjWs9bEMayYgTg3Lacff0RZz9LlZ00i4zGy4XdTdbpXLfI5lcPjFgs1LkiIbjCg41EWiqK4yZjyAzial5MGC8EHXuhnYdzviDJR3FUgnafQRT6KdQsSOW4%2BrLrGDEWdqFIczyEhpZy1azdjUTuEmWiAISnhX%2Fm36RlItUAaLmfHx7faLcV7lahy338CgSA24SEtLk3fsHtDkITwFxNgoO8b%2FLCJOx33xLoLbfRRWtiLXI%2B%2Ftvz1iDobxGo1MDXaK%2F0iSglzC%2BdIjC7i5KPAujSE42zjTxPc1qEv%2Fl6z5HRIiTd7Iz9wE61fVtX0hQEIZzFSU0CLECigVoAyJZEA%2BoYi9cwXs%2FZjV4XMsVIGuXOQYJNtAw5A%2Bz%2Bv9HK3Gsw2%2BNA57D6Q7luFWkvNlFgrldGbw%2B2d6LACM6sKlz8ET%2FYQfz1jh3VQLg5NdXEetSc1bBB5aQKoMR0%2BPdNXQGZ%2FViUsuzhF0KCLi9KpgUj3S4mAyicXPoBtQHlyhWGkj%2FObHC8b0yibgR1BY8by70WGrhpR%2FA7LeujH0i%2BzbI15snKwrY2lVXRjQ87qmFoRre%2BazSGq15laet5%2F2hsl%2F5Y474WUQNizh3EtlBk724pUZX5CZXsXwcStNO6JZx%2FU4dR7%2FMwX%2FdKkqdCnb0ZSgNZpoQvvUwtZu42Y4YMlXVIiewCBqIUIRIWxoSI%2BOQ7S%2BAdd%2FkJpjKRGHlC6rYJ1Ej8ckrltCZQs3L2hb0GQFdKaCTw4Sq4e6pzfkjIpnFWK1mqQl%2BD62ZU5ash3S%2BjWjweuqJN32QRO4zI#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB15911487&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=18&type=pad&tracking_id=fbeaf4e3-2214-4ca1-bc05-2e186058a725&wid=MLB3319912387&sid=search
Smart Tv 32  Lg Webos 32lr600bpsa Hdr Alexa Preto,1399,,Não informado,Não informado,https://www.mercadolivre.com.br/smart-tv-32--lg-webos-32lr600bpsa-hdr-alexa-preto/up/MLBU3139717265#polycard_client=search-nordic&search_layout=grid&position=19&type=product&tracking_id=fbeaf4e3-2214-4ca1-bc05-2e186058a725&wid=MLB5363987560&sid=search
Tv Lg Smart Hd 32  Processador Ai A5  Ger6 - 32lr600bpsa,1563,,Não informado,Não informado,https://www.mercadolivre.com.br/tv-lg-smart-hd-32--processador-ai-a5--ger6--32lr600bpsa/up/MLBU3479090939#polycard_client=search-nordic&search_layout=grid&position=20&type=product&tracking_id=fbeaf4e3-2214-4ca1-bc05-2e186058a725&wid=MLB4245547185&sid=search
