ranking,concorrente,Preço,preço_oficial,preço_indicado,Loja,qtd_vendida,link,principal,compatibilidade
2.0,"Smart TV de 50"" LG UT801C 50UT801C0SA com tela LED 4K 127/220V - preto",1899,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",2Eletro,Novo  |  +10mil vendidos,https://www.mercadolivre.com.br/smart-tv-de-50-lg-ut801c-50ut801c0sa-com-tela-led-4k-127220v-preto/p/MLB45672004#polycard_client=search-nordic&search_layout=grid&position=10&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB4153138167&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,SIM
N/A,"Smart TV LG 50"" 4K UHD LED Alexa, ThinQ AI, HDR10, WebOS 24 Controle Smart Magic- 50UT8050",2023.91,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",INPOWER,Novo  |  +10mil vendidos,https://www.mercadolivre.com.br/smart-tv-lg-50-4k-uhd-led-alexa-thinq-ai-hdr10-webos-24-controle-smart-magic-50ut8050/p/MLB39457123#polycard_client=search-nordic&search_layout=grid&position=11&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB3969669499&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,"Smart TV LED 43"" Ultra HD 4K LG 43UR781C0SA.BWZ Preto ThinQ AI 3 HDMI 2 USB Wi-Fi Bluetooth HDR10",1699,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",TNT Info,Novo  |  +50mil vendidos,https://www.mercadolivre.com.br/smart-tv-led-43-ultra-hd-4k-lg-43ur781c0sabwz-preto-thinq-ai-3-hdmi-2-usb-wi-fi-bluetooth-hdr10/p/MLB25800955#polycard_client=search-nordic&search_layout=grid&position=12&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB5343939420&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,Smart Tv 50'' 4k Uhd Google Assistente 50uq8050 LG,3944.46,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",Mercado Livre,Novo  |  +5mil vendidos,https://www.mercadolivre.com.br/smart-tv-50-4k-uhd-google-assistente-50uq8050-lg/p/MLB19563561#polycard_client=search-nordic&search_layout=grid&position=13&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB2793878563&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,"Smart TV LED 50"" Ultra HD 4K LG 50UR871C0SA ThinQ AI 3 HDMI 2 USB Wi-Fi Bluetooth HDR10",2699.9,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",,Novo  |  +50mil vendidos,https://www.mercadolivre.com.br/smart-tv-led-50-ultra-hd-4k-lg-50ur871c0sa-thinq-ai-3-hdmi-2-usb-wi-fi-bluetooth-hdr10/p/MLB25641930#polycard_client=search-nordic&search_layout=grid&position=14&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB5643003656&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,Smart Tv Lg 50  50ua8550psa 4k Uhd A7 Ai Gen8 Webos 25,1934.1,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",123 Comprou,Novo  |  +25 vendidos,https://www.mercadolivre.com.br/smart-tv-lg-50--50ua8550psa-4k-uhd-a7-ai-gen8-webos-25/up/MLBU3326782979#polycard_client=search-nordic&search_layout=grid&position=15&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB5528580320&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,Smart Tv Lg 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa,1903.15,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",Vikings,Novo  |  +25 vendidos,https://www.mercadolivre.com.br/smart-tv-lg-50-4k-uhd-hdr-thinq-ai-pro-wifi-bluetooth-alexa/up/MLBU3324586075#polycard_client=search-nordic&search_layout=grid&position=16&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB5525530018&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,Smart Tv 4k 50  Lg Uhd 50ut8050 Processador 5 Ger7 Ai,2442.66,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",,Novo  |  +100 vendidos,https://www.mercadolivre.com.br/smart-tv-4k-50--lg-uhd-50ut8050-processador-5-ger7-ai/up/MLBU597916987#polycard_client=search-nordic&search_layout=grid&position=17&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB3821506551&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,Smart Tv LG 55'' 4k Ultra Uhd Pro Led Hdr Thinq Ai Alexa,2079.44,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",Eshop,Novo  |  +100 vendidos,https://produto.mercadolivre.com.br/MLB-3966913999-smart-tv-lg-55-4k-ultra-uhd-pro-led-hdr-thinq-ai-alexa-_JM#polycard_client=search-nordic&search_layout=grid&position=18&type=item&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB3966913999&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
N/A,Smart Tv Lg 50  4k Uhd Processador A5 Ger7 50 50ut8000,2998.75,"R$
1.777
,
89","1789.25 (3º) | R$
1.777
,
89 (Comprebel)",2Eletro,Novo  |  1 vendido,https://www.mercadolivre.com.br/smart-tv-lg-50--4k-uhd-processador-a5-ger7-50-50ut8000/up/MLBU3108124718#polycard_client=search-nordic&search_layout=grid&position=19&type=product&tracking_id=69c29814-5827-4b32-bcc3-386e4be4e927&wid=MLB4022442055&sid=search,Smart Tv LG 50 4k Uhd Hdr Thinq Ai Pro Wi-fi Bluetooth Alexa Apple Airplay - 50tu801c0sa,NÃO
