principal,Preço,Loja,qtd_vendida,link,concorrente
Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos,954.16,,Não informado,https://www.mercadolivre.com.br/smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa-webos/p/MLB37929806#polycard_client=search-nordic&search_layout=grid&position=1&type=product&tracking_id=856856cc-8199-4e93-bdf8-e52d5cf1f17b&wid=MLB4020487085&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
Smart Tv Lg 32  Led Thinq Ai Hrd10 Webos 32lr600 2024,1180,,Não informado,https://www.mercadolivre.com.br/smart-tv-lg-32--led-thinq-ai-hrd10-webos-32lr600-2024/up/MLBU771924572#polycard_client=search-nordic&search_layout=grid&position=2&type=product&tracking_id=856856cc-8199-4e93-bdf8-e52d5cf1f17b&wid=MLB3758156039&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
Smart Tv Lg Led 32  32lr600b Hdr Ai Thinq Led Hd 100v/240v,955.36,,Não informado,https://www.mercadolivre.com.br/smart-tv-lg-led-32--32lr600b-hdr-ai-thinq-led-hd-100v240v/up/MLBU2095162866#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=856856cc-8199-4e93-bdf8-e52d5cf1f17b&wid=MLB3871815089&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
Smart Tv 32'' Lg Hd 32lr600bpsa Processador 5 Ger6 Alexa,1499,,Não informado,https://www.mercadolivre.com.br/smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa/up/MLBU3407771310#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=856856cc-8199-4e93-bdf8-e52d5cf1f17b&wid=MLB5669951912&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
Smart Tv 32'' Lg Led 32lr600bpsa Hdmi/usb Preto,1122.54,,Não informado,https://www.mercadolivre.com.br/smart-tv-32-lg-led-32lr600bpsa-hdmiusb-preto/up/MLBU3098963051#polycard_client=search-nordic&search_layout=grid&position=5&type=product&tracking_id=856856cc-8199-4e93-bdf8-e52d5cf1f17b&wid=MLB5337755918&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
