Titulo,Preço,Loja,Vendedor,qtd_vendida,link
Smart Tv Lg 32 Led Hd 32lr600b Thinq Ai Wifi Bluetooth,1069.99,Loi Brasil,Não informado,Não informado,https://www.mercadolivre.com.br/smart-tv-lg-32-led-hd-32lr600b-thinq-ai-wifi-bluetooth/up/MLBU875178937#polycard_client=search-nordic&search_layout=grid&position=4&type=product&tracking_id=51c35a1d-496f-4c12-829e-3e1f8a1c6b17&wid=MLB5044353728&sid=search
Smart Tv 32'' LG Hd 32lr600bpsa Processador 5 Ger6 Alexa Web,1019.32,,Não informado,Não informado,https://produto.mercadolivre.com.br/MLB-5736332782-smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa-web-_JM#polycard_client=search-nordic&search_layout=grid&position=5&type=item&tracking_id=51c35a1d-496f-4c12-829e-3e1f8a1c6b17&wid=MLB5736332782&sid=search
Smart Tv 32'' LG Hd 32lr600bpsa Processador 5 Ger6 Alexa,944.37,,Não informado,Não informado,https://produto.mercadolivre.com.br/MLB-5742663146-smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa-_JM#polycard_client=search-nordic&search_layout=grid&position=6&type=item&tracking_id=51c35a1d-496f-4c12-829e-3e1f8a1c6b17&wid=MLB5742663146&sid=search
Smart Tv 55pug7408/78 55'' 4k Uhd Led Google Tv Philips,2319,NegociuN,Não informado,Não informado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=RhwVDfrnKZ6IaUGRe%2BS23obcEYFOrxSXkOTNXsyN4xf3V%2B2f5G%2B%2Fm9vjkRihAm0y%2BLt1%2Bj91IOaC53V99PVU9br40jALT4Hksd7cojoNSiiNWlWNZpu1lrE5t4m3YoGU4Y%2FNt2Aj5%2FoERLLMN3UcPkdqt%2FRwurRogLVLB3fpU%2BIgLRf8p4cOautAFnLABFUN10ybEQAd05hJSkHj4qoQMLjE%2Fdoj6NRtwB8P3tuF3wut91yKyRmrT0zzPYEScky6IupegaSlfduL%2F15lisLcZL%2F8qhP6Q1rzDd4QJ48Zix7eAkrI3POjW6NZPDPC6RQRAPsJpk%2BJrgYx%2FnBgQq5WFtPH1JP71Rifs5Ztef87Y0qU9U%2BUuLMfftfMOiEjBzmvaEvZYuSezE1wZBisrPndctlqvs7waygyb1tHw38FUCkyT28C8sfvIvXpt87aUdl1bcuycM%2BbKyWHku33C1Y4QlZ4xzwW1pTmDw7kEV20y2gAZEYh%2Bxc7tqx7gKGTSNKKG8dgsUlIziPsCJu%2FrT8BszHqeHG%2BUol2UJl2n4TRhpafStDH5SpfJvTTa%2FvFhtOzm979KqUic8i4ZPmViIh9OcC8vObzUN77%2FwoSB3N%2FBL30MQH6sgg%2BTQcnx5EUI2FxGi7%2BILNmUl%2B8V0T9SHSi%2BR7tyrMOOow6heyOkhE7pEqG8yfluazKPhqB7emfE7VW91V8oB%2Fi3t8NiuS4F2%2FKYLnskforoqeC5irIZDxcXFMljZuVUtw9GjKQWyd5nJAFQW%2BMSnfIsNraP00fo1AK%2BmiROzf9KxNJGMOAJAv70WYZB6DxSdwZtOU%2B3iYiNXuATVsaB2MQmro%2F0Qcx3%2FZEbN0i08aIENiwhlaGXOQybpMChCo9I9BWLzhYv2eFq%2FGDl4pvwlf4vgjZLrGZQia1ksHqMr%2B5KS9r3truDYCRRC4G4o4Pk%2BhF9s8swG5R3mfQzRDiLU0CBhNJeNOLiz9Uc5mVIZtwXnw2N3c%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB27166998&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=7&type=pad&tracking_id=51c35a1d-496f-4c12-829e-3e1f8a1c6b17&wid=MLB4144620721&sid=search
Smart TV TCL 50 Polegadas QLED Mini LED 4K C6KS WiFi Bluetooth Google TV HDR10+ Dolby Atmos 50C6KS,4701.55,TCL,Não informado,Não informado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=iPdfEl3piMGZrZjweyULLz971s3MX1g7sS2bB3ilWqZRapKVUFD5pXvS19n2cdwlwz9%2Bc5t35YR8wqfKLrbB5LNkEnjFqMdNk5L23SFmJrVkiXMnXsAwsecRueX1kAymYpoj94GuiZvugI59GmyfkpY6rB6Ef8N%2Fkg3%2FTRuCzRE9LEJfTYjzq0TmwBFyR1Ud%2FuFNh3YK4gImhe6R4GQIk7MU7hWyT1Ya%2Bd%2BQqiPPn4xqTdlwbBtL3PT5x2AHrHgP8Czc0ONzSSx0000uocob3l0VTdsn%2BX8K9lEw%2FM2eehjAAjTZxY9NV8lzXPCqpdJzFFDksywO3QsGUMN0WPhJWc9kliVBgFd%2B%2BHFsTWjyfeQ8bDQxFQeD8aX1rzexiccyT55tRURjl5ZdJpOkLdrv4G5Bs5Mr0S4jiTZLSvUUs5yyBTbbvizGvrtgv7cyj%2FY0dpHRkFZvFbnzAuuahUS9gwHNe%2B3ucgU8pVa4ih9HziX1aqSzmLeck7WsmV63iIeIzcHuw0t6RaIISRXt%2F%2BRJOrEWb%2BZZh%2BpQuK%2F79nxd%2BJfdyjVpQfhmCw4uMlzL21kZul6ehv%2FB6xXHVKYHy9kzpSqTbQzdsNqZF29Ql%2FrdMlKs6ctwdMHRTrX0S78n2bQfnSE%2Ft8Qc9D7xJIx4J4q16zuxCA8KdPOPJyj%2FpOTN1q7yB9%2Fxl94PI28tKK690zrUichWuMxHQausiIebR2Gmdt4tD2HbEOT2YKdp7lqvIsKGkExXUS1GXOZpkNWSQCYzZs4R8dqNU%2BR2y2pnC8x34HqIm14puLvZrr6eMbR7Jejuu1fqJgr1nP6B4vCBW7cZUi%2BgDBC0QNlIjqvAJSMc%2FWp%2BshZ%2F2Z9aUNWK114NsiXR1WZjyHFeyBqdfkSECB9cFpmiorfl2tcmeTVdE%2FCUn27sLWwyjdd5m3%2FHqG%2F3XLJdTuqF1%2B%2BTQCvwnyaJ0gajqO3q3XCt1MK0ud4ePY2MmCV5TmC5aQ9LNbJbModCRQjH1uR0HY6P8K3wuEPLWVHs4jinWQtHYkTy4CF4aRMSNXZmejPn2iE%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB53860595&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=8&type=pad&tracking_id=51c35a1d-496f-4c12-829e-3e1f8a1c6b17&wid=MLB5626639878&sid=search
Smart Tv Full Hd Led 43 Samsung Lh43betmlggxzd Wifi Tizen,1641.9,2Eletro,Não informado,Não informado,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=E7J6D1rOBKNDeJp1PXnA3S7v1vAzlQQGGtDCpnZ1KPF%2B0DqjToTSN0B6Egb6y0uurK4EMpo7BIimZzRhBMInr%2FzEixPlPJM8KzpP3yKxPrt5xF%2F5nnsFoSf0dYzO0GtWJX%2Byaig68glKJCbG7SZdeJuR%2BUmYk0gS9iNzoFrIgXS11FyPyxO8PpNzDMpcypj32akGRyv6UUR%2BSbnh%2F6B56wr%2FZYQoWByzAYB1v3rTxRemFIu5OJfdbMR%2BsyN7kG1LW7xd7hxjLLbGZRvCftTW8%2BbjvBkn0Zv30Nckbkei12yv97h6%2BcmIrRH%2FxyJ1hp%2BLqv0uBvEsjg3NX8XwZjC%2BIeV4WDbiCMUhQJfiaR24xLq53fppegDRq2JTLPOCk5qMPcPoTOOpoeaOM4T63sNOkifFwZCbeBsoHw1uXoXuXbinYfQ35Ekpf43tgoAFbJ7EUDOrBbk5p8GKCGJt34IuzN%2BBWD%2F7qmbMjMxG0jabhs5bFspnfiDjvYppG57FUfXGr7sbV8ML63drhfbzavA%2FJZXDtFqozWLW%2FVNVdwzlkVisYI3AxGxgUhMhhSzOsDfxqxj4p6Jx9H%2BAH6QjRv2cFkga6tf14wiY8ZtI3p98DWdZ5caJegvgzCehvW0c%2FUzvAbnh2tiNF8E%2BGkAOZHqfEkrLZXquTW6KSX5jvEz92JzgMwpIB3EpIqCdKYdWtQ2pZV%2BxqyB88Z1jMw60%2Fv1hoaQoheP7G%2FnK9a5sowt7XOlXmpR4%2BdK2wUDq1tkllylaB1FmuMQxqC5J5Y2Eog6wj3AJR2BQljH5YfLK7zhGY3XRnq3wY3O3Hpqc3Fbj0Gl8nSeFacPID9HFHpsWzlcZKadm1v6K7otUwMVkL2uQSLT8BlM%2BLdRqQ4hv8ARoWhKp3QZ140Hn4VRyFsbrjR%2BXyZhN%2Bgc%2BIlC%2B2wNyiVokotOBFxQtGw1HSAorV8N4YhUvQEKwKSdp9ODsB%2FmCkcV7FJEO6DIXn8ognQu5eQ59GA%3D%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB15911487&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=9&type=pad&tracking_id=51c35a1d-496f-4c12-829e-3e1f8a1c6b17&wid=MLB3319912387&sid=search
Smart Tv 32'' Lg Hd 32lr600bpsa Processador 5 Ger6 Alexa Web,979.92,,Não informado,Não informado,https://www.mercadolivre.com.br/smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa-web/up/MLBU3241389748#polycard_client=search-nordic&search_layout=grid&position=10&type=product&tracking_id=51c35a1d-496f-4c12-829e-3e1f8a1c6b17&wid=MLB5435498432&sid=search
