Titulo,Preço,Loja,qtd_vendida,link,Oficial
Smart Tv 32'' Lg Hd 32lr600bpsa Processador 5 Ger6 Alexa,1039,Webfones,Novo  |  +5 vendidos,https://www.mercadolivre.com.br/smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa/up/MLBU3407771310#polycard_client=search-nordic&search_layout=grid&position=11&type=product&tracking_id=e542e281-eccc-411b-8568-22862f338cee&wid=MLB5669951912&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
Smart Tv 32  Hd Led Lg 32lr600bpsa  Webos 23 Com Ai Thinq,1399,,Novo,https://www.mercadolivre.com.br/smart-tv-32--hd-led-lg-32lr600bpsa--webos-23-com-ai-thinq/up/MLBU3493973295#polycard_client=search-nordic&search_layout=grid&position=12&type=product&tracking_id=e542e281-eccc-411b-8568-22862f338cee&wid=MLB4258159231&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
Smart Tv 32'' Lg Hd 32lr600bpsa Processador 5 Ger6 Alexa Web,979.92,,Novo  |  +25 vendidos,https://www.mercadolivre.com.br/smart-tv-32-lg-hd-32lr600bpsa-processador-5-ger6-alexa-web/up/MLBU3241389748#polycard_client=search-nordic&search_layout=grid&position=13&type=product&tracking_id=e542e281-eccc-411b-8568-22862f338cee&wid=MLB5435498432&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
Smart Tv 32'' Lg Hd 32lr600b 60hz Lcd - Preto,1035,Rep Store,Novo  |  +25 vendidos,https://www.mercadolivre.com.br/smart-tv-32-lg-hd-32lr600b-60hz-lcd--preto/up/MLBU3189331478#polycard_client=search-nordic&search_layout=grid&position=14&type=product&tracking_id=e542e281-eccc-411b-8568-22862f338cee&wid=MLB4068766939&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
"Smart Tv Lg 32  Hd Webos 32lr600 - Preto, Dolby Digital",1223.01,,Novo,https://www.mercadolivre.com.br/smart-tv-lg-32--hd-webos-32lr600--preto-dolby-digital/up/MLBU3448400762#polycard_client=search-nordic&search_layout=grid&position=15&type=product&tracking_id=e542e281-eccc-411b-8568-22862f338cee&wid=MLB5742304826&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
"Smart TV LG UHD AI 4K 50"" UA75 2025 - HDR10 Pro - 50UA7500",1915.76,Eshop,Novo  |  +1000 vendidos,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=f6GCcLeCdQkwM2I%2F3ArZ9BqV3Qu4qGcHzlN5ylBDW2WEe8M9d5LNWOKJYsVYztLGE59ucfNHYnFsHI3f2ZFhnv8hv%2BsJk3nb3W84pgT59PbuTZ0sS5hu7D%2BBx9BMdv5Z3TOo0eqoh9I8p0GXpHby73MNhXqfwyqj5BCI3%2FbBfejrglMJnbIGSHiJUjkYjM7aumTLvAMnyX%2FTD2e%2FWjwgK461o4IH0SoKVXCwcbLCYUjPAn2VVl20RF4bkHGivydRqO%2FhEimoR9bSbCGp0oqy7eW5wcWBFXOSD6WA6D%2Bw6sVk%2BeqIAa2roBQALMLwuWBQj5omf5X9SYLIAxVOrzRCuztxdl6JVQgXTg7YCAs12tP6xuhnZU0YXSvGtvFTrSwGkZpH6IlFoEHvU9mQtMI3r0%2FAWQEEv5hxlh55hooX5QVArz21Xxhlut2Zhe13OfqtXY4Jtk8xqK5vrp4WpxV1smWV%2BT%2Bd9Q9qh2kzkD0X%2BblmdfGpqzxQv6FC2em5ZUn4J0ikecd%2BdwjXpnR6ZTmqJyrbEB%2F%2FGs0sA7cizAS4B1OGVRlEvr21NVmNMKT1Nq1Rph70x2R7aTMQEB2LFM%2FLk9iKoMad%2BGtrik1JtCuQuU9XfgaTAkKW1ixltgYC4nQI09tv%2FBBm7U4W1jPbLWS1BTtGVK611oeS%2FMvXtsHP1CGX1nw29ZqsqQfZBVxTspGKmaS7vTnM9ONST9St0GvuLeS4tAeyVa9QNMMeOyhMxzEoT%2BSX6ciPKH1isGqxP3YzRLnstjZ5sXCs%2BtFTdc6JEhD7j2TqTf8O3uUTUZjPsNfUiP0AWZmBV97b3BtCj%2F3wMg504dGuF4spt8WQineuNft3FDMLKt4sPAdNIFXpVDMbcZAL7DGiV8sRQXo2p8%2FRfi%2BWKbmb8i2t967DwV1LPnh6Qqc20t2HCioD3ok7wC9gGMCrzQS7FlnXjPjDUyJeiF3Eaq0lo3WxPO6gmhC78QFkf5qkS%2BHN9kkUXw2V#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB53201474&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=16&type=pad&tracking_id=e542e281-eccc-411b-8568-22862f338cee&wid=MLB5547463722&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
Smart Tv Ptv32g7pr2cgb 32 Polegadas Led Roku Cinza Philco,869.44,Eshop,Novo  |  +1000 vendidos,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=ESiRvIzEBPK%2FL%2F9wQ%2FDDWwlSSGb1l6f8LEbsiO1ZK09NHq%2Bop%2BLzNnfeHDX5pJlb60FeEkRB3tZuv9fGpaW3t8Cknzsr34RInHV26is%2FfWTv3na23bsOmBBCJ7z%2BmNeZ79O%2BCrqDFU0sTigOeAw2Th5fSvNV%2FSkUiKW4sfSasCHB0TVcL7d6YZ6S8f1rqRBWYj6Ztig%2FQMcQvnSTbw1pdLvRIl1vhvmbJ08T6FtODLIT6eJYah6zXCB9TxCxzRO3Pcukea6cr2oArjSL4oxB5IdFjew%2B01zFcST%2F65g3TJ%2B2fgJMDNbDhxvEVoi4zB6xiHLf%2Bu99Wg8VjVHhNV0EMW5V93nBPC5z05UmbiwmDV9HhDhzEwvC5OLH8s%2FqVFYHO2MbBCH8h1yLODc85wHO7eG%2B0bgHlwNTvnP5%2FdhdAMNlOSz9FDdVr08q4OYzchPClRhCFrI06pL3TXfzZGY9e4QmUfV6rFw%2FZM2dUMHKe4kvgAEHn5FNhDatW0mYy9Etz%2FAY1FZhnQt26Y1W%2FzXnLtiLFxLaZ0EOighmFcGJuYyjqx%2FAOv2qpdFtf9x33srWBaQc%2B3JNqXrU5bz3ffGvToRVhC9RKBPvGOzBewCtk6KeXKMa5htODmURNSPwysGiBayhdNdjd16H%2FCba%2FUSuV%2FS5OcbKUXe0N2HZvHhhsUGloGl0mSHVvIyOlN%2B04WM57mSkayOpSA1tZu0nA9rkgalYYlLKci9G4zOqyp%2BM8hE5UwWnG3qqKgvfQAIcAiPh1USBzBCE%2BiDwS5dy94ZAFtE6XKHKPZ15CZ1UjhlGD%2FM1Hv%2BFmh3bk9r92yJ1Mm7NXZ4tmCJR6sdlojFhd1anjO2iWt2vQoQM0g%2BiXXm4U1Jf1918Qghf5B3TJtx3X3IJZa%2BI2d9ihZ4lo7hQofIwKnpze8u8y232DUl0TVMNd7zDLafe%2FSQc2ZoyEejwWAs%2FOdD1MYMmQ1KyazKKYCXxXZgqx91YYWLxEza5FuEVho%2FMXA%3D%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB46114679&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=17&type=pad&tracking_id=e542e281-eccc-411b-8568-22862f338cee&wid=MLB4188006339&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
"Smart TV LG 43"" Full HD 43LR67 AI WebOS 23 AI a5 Ger6 Bluetooth USB HDMI Wi Fi",1455.09,Vikings,Novo  |  +10mil vendidos,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=lzaYBNyCublgfRMq2d27%2Bx%2BFAgIq6SpRUIkmAgWIXP7M6gyGGWyMdfueAjmMxO3IFJg4DlJcvx0vW4sKUH51lc7HaP8BkXLvNgzV%2BOTkdDEZ1n62hxWkRqVr7OZcn7099dnnbr8eUqBFuPnaAaOEZ8OfgkuLgF239tTuY%2F67EuQU6k4pj6voYX8pcIooGwD52HpPbNDCuv5ituKJesTt8h%2Bb1jHGYWzYlNf%2Fet37%2BA5Gho7PyGlnQDb%2BZDONcalVAb7T0ajFKLZE0NZvl5gDp5FMi35QRI48C%2FKPaF%2FV7NIWSnLRda8LWkvmIMlKjjB3DzCK9yW0tzy0VXVmdVy0POXEqF4tcqYXM18yutkeqBQZZ6Jf6A4SIcBNCPfB0rB4CWITd1JJ1DMFoGVH6SJb2Bkzws9LTc0o1Y9eVF1gVDc6Bq6GVxBhVy%2BkJ3qFmKmgmYmagvsQvWMQ0UcPjNmBafz%2F5JKiwV9M8gv7hBjcivvc78vAxl4w8sb1eclpltQt6QUJXYt74fb8MvTXlQ8de82fp9xd0VZTQPDF%2FreX7Yum746JKGhmIAd5HkGcG4yeoCj%2FkwoNfGS7VDyFiKCTISJ12VMOxXYR1TZzvBEI8dvQJUCwh8ZphA%2B9Julj6JciKqyaREwm6QKJ4LmQhJc%2F3mNHJ8jpPIvtxA%2FEHW4g%2F00ptZVS9Dq%2FUPZKKe75myXIzQfBPp4lZC1CANiA2C40lco6LZ2owBycxglKOZuRbB8qpcg%2FhJnEbqTshlJ%2FOJZgOLFqZqxj9uAegkxlLNZTH8NL1%2BFrv1P%2BhuI%2BeNme3uO11WRWnLLggERMZlHgc%2FKRJay%2F8jmOk6Ftb4nijiLAcW4ArgfJuB%2BRWiaQHDNDf228p1lPjdV%2FKNRgCX41PmziZhDwgPnPXuRjY7JQ2U5nxtRqaguFBrob8lImWYvERvT%2Fm7lih%2BsUFRYmdBWpGFGna9ElaWJjeCUmGSTYa%2BIm5OXmrKLxIPxq9NpDYBj3MMcbk4B2HLuACGV2OxOt9s0WOrmNMRY%3D#polycard_client=search-nordic&is_advertising=true&searchVariation=MLB39205913&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=18&type=pad&tracking_id=e542e281-eccc-411b-8568-22862f338cee&wid=MLB3993703643&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
Smart Tv Lg 32 Hd Alexa  Webos 23 Wi-fi Hdmi  P. A5-32lr600b,1099.9,,Novo,https://www.mercadolivre.com.br/smart-tv-lg-32-hd-alexa--webos-23-wifi-hdmi--p-a532lr600b/up/MLBU3366268929#polycard_client=search-nordic&search_layout=grid&position=19&type=product&tracking_id=e542e281-eccc-411b-8568-22862f338cee&wid=MLB5598880230&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
Smart Tv 32  Lg Webos 32lr600bpsa Hdr Alexa Preto,1399,,Novo  |  +100 vendidos,https://www.mercadolivre.com.br/smart-tv-32--lg-webos-32lr600bpsa-hdr-alexa-preto/up/MLBU3139717265#polycard_client=search-nordic&search_layout=grid&position=20&type=product&tracking_id=e542e281-eccc-411b-8568-22862f338cee&wid=MLB5363987560&sid=search,Smart Tv 32'' LG Hd 32LR600BPSA Processador 5 Ger6 Alexa Webos
